TARGET_DU:Rotation-ActVel      2020-06-09 13:45:38.850536 2.6357  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:39.350590 2.7287  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:39.850588 2.768  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:40.350541 2.7609  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:40.850730 2.811  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:41.350711 2.8396  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:41.850767 2.8682  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:42.350815 2.8181  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:42.850813 2.8253  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:43.350871 2.8396  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:43.850922 2.836  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:44.350942 2.8861  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:44.850964 2.8896  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:45.351028 2.9325  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:45.852067 2.9612  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:46.351123 3.0398  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:46.851138 3.0935  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:47.351191 3.1257  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:47.851262 3.1221  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:48.351222 3.1292  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:48.851284 3.1257  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:49.351358 3.0684  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:49.851369 3.1471  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:50.351415 3.1221  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:50.851454 3.0684  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:51.351492 3.1042  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:51.851684 3.0971  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:52.350718 3.1757  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:52.850774 3.1722  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:53.350702 3.2866  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:53.850789 3.3116  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:54.350806 3.3581  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:54.850714 3.3653  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:55.350830 3.376  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:55.850891 3.4118  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:56.350882 3.5155  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:56.851122 3.5584  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:57.351100 3.5512  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:57.851024 3.4618  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:58.351102 3.5119  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:58.851097 3.587  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:59.351143 3.5548  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:59.851188 3.5441  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:00.352174 3.5548  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:00.851257 3.6263  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:01.351293 3.6621  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:01.851342 3.6371  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:02.351376 3.68  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:02.851477 3.6764  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:03.351440 3.705  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:03.851524 3.7444  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:04.351564 3.7766  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:04.851568 3.7229  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:05.351570 3.6979  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:05.851613 3.773  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:06.352728 3.7444  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:06.851860 3.7372  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:07.350778 3.8016  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:07.850913 3.823  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:08.350780 3.8159  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:08.850835 3.8731  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:09.350772 3.9053  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:09.850830 3.9196  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:10.350872 3.9232  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:10.850887 4.0162  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:11.350953 3.9911  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:11.850992 4.0197  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:12.351012 3.9983  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:12.851092 4.0412  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:13.351082 4.0841  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:13.851177 4.1485  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:14.351261 4.077  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:14.851214 4.0841  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:15.351322 4.0877  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:15.852329 4.0805  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:16.351442 4.2093  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:16.852454 4.1842  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:17.352584 4.1771  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:17.851670 4.2343  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:18.351579 4.2558  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:18.851709 4.245  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:19.351753 4.3237  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:19.851727 4.3416  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:20.352792 4.3666  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:20.851880 4.3201  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:21.352015 4.3738  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:21.851041 4.4024  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:22.351150 4.4131  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:22.851113 4.456  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:23.351115 4.4525  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:23.851243 4.499  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:24.351139 4.4703  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:24.851210 4.5061  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:25.351199 4.5705  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:25.851256 4.524  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:26.351322 4.5848  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:26.851318 4.5562  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:27.351359 4.6527  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:27.852395 4.6456  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:28.351447 4.6742  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:28.852486 4.6849  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:29.351497 4.6885  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:29.851553 4.6241  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:30.351731 4.7064  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:30.851650 4.6349  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:31.352711 4.7421  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:31.851676 4.7886  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:32.351763 4.7493  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:32.851815 4.8065  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:33.351843 4.8387  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:33.851874 4.8172  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:34.351894 4.8459  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:34.852020 4.8959  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:35.351979 4.9424  
TARGET_DU:Rotation-ActVel      2020-06-09 13:46:35.852125 4.946  
