TARGET_DU:Rotation-ActVel      2020-06-09 13:55:53.857294 6.7914  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:54.357319 6.7019  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:54.857361 6.7377  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:55.357432 6.6948  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:55.857502 6.6626  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:56.357479 6.6555  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:56.857523 6.6197  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:57.358608 6.5982  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:57.858526 6.6054  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:58.357719 6.5017  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:58.857704 6.5482  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:59.357778 6.4409  
TARGET_DU:Rotation-ActVel      2020-06-09 13:55:59.857798 6.3658  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:00.357828 6.3622  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:00.857825 6.3658  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:01.357908 6.3622  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:01.858056 6.3694  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:02.357145 6.3157  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:02.857148 6.3014  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:03.357146 6.2692  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:03.857185 6.2764  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:04.357157 6.3336  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:04.857163 6.2835  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:05.357249 6.2478  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:05.857249 6.1977  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:06.357318 6.187  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:06.857325 6.1548  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:07.357398 6.0618  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:07.857436 5.9867  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:08.357443 6.0189  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:08.857516 5.9545  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:09.357507 5.9724  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:09.857558 5.9474  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:10.357627 5.8937  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:10.857689 5.9009  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:11.357527 5.9259  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:11.858741 5.8866  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:12.357796 5.8901  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:12.857834 5.8615  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:13.357854 5.8973  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:13.857847 5.79  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:14.357967 5.815  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:14.858027 5.7435  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:15.358034 5.7507  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:15.858078 5.6934  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:16.358078 5.6648  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:16.858218 5.6219  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:17.357355 5.604  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:17.857292 5.554  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:18.357329 5.5397  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:18.857355 5.5611  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:19.357378 5.5075  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:19.857378 5.5218  
TARGET_DU:Rotation-ActVel      2020-06-09 13:56:20.357397 5.5468  
